	Original Data (Indonesian)	Translated Data Into English	Sentiment	Emotion
10	beritanya ngawur tidak berdasar seakan-akan berdasarkan pesanan, sangat mendiskreditkan kebijakan Jokowi, masak pelaku penusukan Wiranto itu dendam karena tanahnya kena gusur buat Tol, lah bukannya tanah yang kena gusur buat Tol itu gantinya jauh lebih mahal berlipat-lipat kok malah dendam, terus kenapa ke Wiranto bukanya ke Pekerjaan Umum, sungguh berita amat sangat mengecewakan dan menyesatkan, pertanyaannya apa dapat imbalan dengan nilai dolar yang fantastis dari Cen..na 	the news is baseless, as if based on an order, greatly discredits Jokowi's policies, how come the perpetrators of the stabbing of Wiranto are vengeful because their land was evicted for the toll road, instead of the land being evicted for the toll road, the replacement is much more expensive many times over, why are they even vengeful, so why to Wiranto not to Public Works, really, very, very disappointing and misleading news, the question is what can be rewarded with a fantastic dollar value from Cenna..na	Negative	Anger
11	Gak ada yang on Malhan gak di balas kesal Kecewa sekali HAPUS AJAH INI APLIKASI PENIPUAN I NI KARENA BISA BIKIN RUGI MASYARAKAT INDONESIA TERIMAKASIH 	No one is online, Malhan doesn't reply, annoyed, very disappointed.	Negative	Anger
12	Imdonesia mulai sering memberikan berita HOAX dan mulai tidak netral 	Indonesia began to frequently provide HOAX news and began to be not neutral	Negative	Anger
13	indonesia berita masalah papua selalu memojokan pemerintah,apa harapan dr ini.sudah ku deleted.ga seirama.dgn saya NKRI HARGA MATI. 	indonesia news on the problem of papua always pushing the government into a corner, what are the hopes from this.	Negative	Anger
14	Indonesia,berita online yg nggak netral,sering memberitakan HOAX 	Indonesia, online news that is not neutral, often reports HOAX	Negative	Anger
15	kumpulan berita FITNAH berbicara agama dan keyakinan bukan dg ilmiyah tapi BAHLULIYAH WAL JAHILIYA.asal nyeplos sok tau tapi MENYESATKAN 	a collection of defamatory news talking about religion and belief, not scientifically, but BAHLULIYAH WAL JAHILIYA.	Negative	Anger
16	makin gak jelas masa capek² chat poin gak masuk 	it's getting more and more unclear when you're tired, the chat points don't come in	Negative	Anger
17	malah ngurus game yg satunya lagi ..sementara kontrol setir tilt dibussid belum dibetulkan .. secepat nya dong tanggapi keluhan kami ..masa harus nunggu satu tahun 	even taking care of the other game..while the tilt steering wheel control on bussid hasn't been fixed..as soon as possible please respond to our complaints..you have to wait one year	Negative	Anger
18	media KADRUN dan SAMPAH..!! 	KADRUN and TRASH media..!!	Negative	Anger
19	media sekarang penuh dengan HOAX. PAYAH BENER!! 	the media is now full of HOAX. REALLY BAD!!	Negative	Anger
20	Msih kurang sempurna..sistem transfernya kurang cepat..stlh kita transfer ke harus nunggu beberapa mnit .lama 	It's still not perfect... the transfer system isn't quite right... after we transfer to it, we have to wait a few minutes	Negative	Anger
21	setiap jam 9:30 sampai 22:30 kalau kirim uang dari BCA ke bank lain sering nyangkut. Paling benci saat lagi butuh butuhnya tidak bisa di andalkan. 	every hour 9:30 to 22:30 when sending money from BCA to other banks it often gets stuck. I hate it the most when I need it I can't rely on it.	Negative	Anger
22	skrng jlek sma skli ga ada redem pulsa. kmi pra Android butuh pulsa buat di paketin. bukan butuh voucher belanja. ksian warga indonesia orngnya pada gndut smua!! redem pulsa lgi !! tolong di bles 	now it's bad there's no credit redemption at all. we pro Android need credit to be packaged. no need shopping vouchers. Too bad the Indonesian people are all fat!! Redeem pulse again !! please bles	Negative	Anger
23	sudah terkontaminasi dengan Kadrun. 	already contaminated with Kadrun.	Negative	Anger
24	tolong lah server jaringannya di perbaiki anjg 	please fix the network server dog	Negative	Anger
25	tolong trafiknya diedit supaya tidk menggangu kita pada saat membawa mod yg panjang 	please edit the traffic so it doesn't bother us when carrying long mods	Negative	Anger
26	yg dulu enak bgt di gandeng untuk bisnis.. skrg GK ada guna lagi . Krn Fitur VA nya udh GK ada. Byee OY ! 	what used to be really good to work with for business... now it's no use anymore. Because the VA feature doesn't exist anymore. Byee OY!	Negative	Anger
27	yg sekarang apaan gk mutu dari pada versi yang awal,chat'an biasa di kata spam 	the current one isn't of any quality compared to the earlier version, chat's are usually called spam	Negative	Anger
28	!!!! Kenapa pas saya beli bus arjuna xhd tapi tidak bisa di pake dan saya heran kenapa tidak bisa di pake dan bug bug lain nya seperti bug hujan tapi saya malah keluar sendiri parah !!!!!!!!!!!! 	!!!! Why when I bought the arjuna xhd bus but I can't use it and I wonder why it can't be used and other bugs like the rain bug but I just go out alone badly!!!!!!!!!!!!	Negative	Anger
29	%$>/:(&_*^%$%,*babi kau 	%$>/:(&_*^%$%,*your pig	Negative	Anger
30	, masa baru maen udah di suruh beli. Luh pikir duit boleh metik aplikasi yg laen juga ga beli batas chat juga bnayak ga kaya gini.kalo emang mau ngebatasin dari orang nya ajah jangan chat nya.!! 	, when I was just playing, I was told to buy it. You think money can use other applications, it doesn't buy chat limits, it's not like this. If you really want to limit people, don't chat.!!	Negative	Anger
31	1 bintangpun tdk pantas 	1 star is not worth it	Negative	Anger
32	"1 juta+ download? Dah 2 hari gw buka aplikasi ini. tiap gw search org lain, orgnya itu"" Aja. Wtf.. "	"1 million+ downloads? It's been 2 days since I opened this app. every time I search for other people, that person is ""just fine. Wtf.."	Negative	Anger
33	211BGKBYBPH bermasalah, status dana dikembalikan , tapi nyatanya gak masuk ke rekening saya. komplain CS sangat berbelit2. sudah dikasih bukti tambahan saldo tak kunjung refund kembali, parah OY parah 	211 GKI BPH has a problem, the status of the funds was returned, but in fact it didn't go to my account. CS complaints are very convoluted. I have been given additional proof that the balance has not been refunded, OY is bad	Negative	Anger
34	2204WKH01Z66 Saya sudah tranfer ke , tapi sampai sekarang dananya belum diteruskan juga, minta dibalikin dananya ribet, banyak alesan, tapi dana ga masuk2 di email suruh nunggu 8 hari, lah besok aja cuti bersama, pasti molor lagi, masa ga ada tim buat ngecek begini ya 	2204WKH01Z66 I have transferred to , but until now the funds have not been forwarded either, asking for the funds to be returned is complicated, there are many reasons, but the funds don't come in the email, I have to wait 8 days, let's go on leave together tomorrow, it will be delayed again, there is no team to check like this yes	Negative	Anger
35	"23/02/20 TOBAT, DAFTAR SULIT BUKAN MAIN. SETELAH BERHASIL MUNCUL ""GAGAL MENAMPILKAN BERITA"". "	"23/02/20 REPENT, HARD LIST NOT TO PLAY. AFTER SUCCESS APPEARING ""FAILED TO SHOW THE NEWS""."	Negative	Anger
36	"3 kali kasih verifikasi data yg sesuai, foto dll. Gak bs juga, verifikasi gagal.. ok delete. Aplikasi beginian, gak cuma 1 ya..kalau awalnya aja, udh bkn kecewa gimana belakangnya? Buang"" waktu aja!! "	3 times provide verification of appropriate data, photos etc. Can't either, verification failed.. ok delete. There's not just 1 application like this... if it's just at first, you're not disappointed, what's the end? Don't waste time!!	Negative	Anger
37	4x verifikasi gagal terus..ktp gak jelas..KTP udah sangat jelas sekali padahal..uninstal langsung.. 	4x verification keeps failing..KTP is not clear..KTP is very clear even though..uninstall directly..	Negative	Anger
38	Aaaaaasu 	Aaaaaasu	Negative	Anger
39	Aaahh, jelek banget sihh.. Baru diupdate malah ga bisa transfer.. Mending ga usah d update kalau kaya gini w! 	Ahhh, that's really bad.. It's just been updated and it can't even transfer.. It's better not to update if it's like this w!	Negative	Anger
40	aaplikasi gak guna bnyak iklanya auto uninstal 	the application doesn't use a lot of ads it auto installs	Negative	Anger
41	Abis update bukan makin responsif transfer2annya malah lama banget. Isi gopay aja gak masuk2.. klo udh di perbaikin gw tambah lg bintangnya. 	After the update, the transfers weren't even more responsive, it actually took a long time. The contents of gopay don't even go in... if it's been repaired, I'll add more stars.	Negative	Anger
42	Abis update keluar keluaran terus KECEWAA!!,harap develover perbaiki bug² yang ada di versi 3.7 ini kalo engga dampaknya nya orang orang yang bermain di android yang tidak terlalu mendukung seperti saya akan pensiun bermain Terimakasih,dan itu banyak jumlahnya! 	After the update, the output continues to be DISAPPOINTED!! Hope the developers will fix the bugs in version 3.7, if that doesn't have an impact, people who play on Android who aren't very supportive like me will retire from playing. Thank you, and that's a lot!	Negative	Anger
43	"Ada beberapa Bug mapping loading tidak sesuai/tidak teratur. Contoh : Dari Pekanbaru menuju kota jambi, tau"" Mapping menuju kota malang jadi tidak teratur, untuk mabar jadi sangat kacau setelah update ini "	"There are several bugs where the loading mapping is not appropriate/irregular. Example: From Pekanbaru to the city of Jambi, you know ""Mapping to the city of Malang has become irregular, for mabar it has become very chaotic after this update"	Negative	Anger
44	Ada beberapa hal yang bikin bosan main ni 1. Maps gtu² aja. Coba tambahin 2. Kendaraan Npc jangan gitu² aja ditambahin supaya bervariasi 3. Smart traffic nya tolong diperbaiki lagi..soalnya ga logis kalau truk kontainer kecepatannya 146 km/jam.. 	There are several things that make me bored playing this 1. Just maps. Try adding it 2. Don't add NPC vehicles just like that so that they are varied 3. Please fix the smart traffic again... the problem is that it doesn't make sense for a container truck to travel at 146 km/hour..	Negative	Anger
45	Ada biaya adminnya, pindah!! 	There is an admin fee, move!!	Negative	Anger
46	ada bug yang lumayan ngeselin.aku pas abis derek kendaraan kok tiba tiba kendaraan nya jalannya pelan banget bahkan gak bisa jalan dan satu lagi nih bug supir nya gak bisa jalan dan lompat dan loading masuk game lama banget terus nih bug mod jadi hilang terus nih bug tombol tombol gak bisa di pencet. Woy developer game bangke yang bodoh bgt.ini game jelek banget kayak sampah kebiasaan. game baru bug baru dasar game burik. .kalo gak diperbaiki bug nya akan ku uninstal ni game burik ini 	There is a bug that is quite annoying. I just finished towing the vehicle, how come the vehicle suddenly runs very slowly, it can't even run, and one more bug, the driver can't walk and jump and load into the game, it takes really long, this bug mod keeps disappearing, this bug buttons can not be pressed. Woy, this game developer is so stupid, this game is so bad, it's like a trash habit. new game new bugs dotted game base. If the bug is not fixed, I will uninstall this dotted game	Negative	Anger
47	Ada bug yang sangat menggangu yaitu bug loop travel dari Wonogiri ke solo. Ketika dari Wonogiri ke arah Sukoharjo itu akan balik lagi ke wonogiri dan seterusnya, jadinya tidak bisa sampai ke solo. Tolong untuk segera diperbaiki 	There is a very disturbing bug, namely the loop travel bug from Wonogiri to Solo. When you go from Wonogiri to Sukoharjo, you will return to Wonogiri and so on, so you can't get to Solo. Please fix it soon	Negative	Anger
48	Ada tulisan offline tapi bisanya cuma nglayap, ga dapet duit. Mode narik sama pariwisata pun harus ngehidupin data/WiFi. Iklannya banyak + lama² semua. NPCnya kaga jelas. Ada bekas tabrakan, terus mobilnya udah gua singkirin, mobil belakang kaga mau maju. Game 1GB serasa game 100mb an. Ampas lah pokoknya. 	There are offline posts but usually they just hover, don't get any money. The mode of interest and tourism must also turn on data/WiFi. There are a lot of ads + all of them are long. The NPC isn't clear. There was a trace of a collision, then I got rid of the car, the rear car wouldn't go forward. A 1GB game feels like a 100MB game. The dregs is the point.	Negative	Anger
49	Admin mahal, kalo 500 rupiah per transaksi mungkin masih wajar. Aplikasi sebelah masih nol Rupiah soalnya 	Admin is expensive, if it's 500 rupiah per transaction maybe it's still reasonable. The next application is still zero Rupiah, the problem is	Negative	Anger
50	Batas refund brp harii? udah di tunggu 24 jam refund gak msuk2.. Uang juga muter minn gmn.. Udah komplain ke cs cuma suruh nunggu2 aja. Gmn minn 	Refund limit how many days? I've been waiting for 24 hours for a refund and it doesn't work... How can the money also go around... I've complained to CS, I just told them to wait. How are you minn	Negative	Fear
51	Eh lu tau gua main mode pariwisata sinyal bagus tapi kenapa bayar pelabuhan malah di suruh ke menu utama, saya gak mau tau ini harus di perbaiki secepatnya atau saya uninstal bussid ini 	Uh, you know I play tourism mode, the signal is good, but why do I pay for the port, instead I'm told to go to the main menu, I don't want to know, this has to be fixed as soon as possible or I can uninstall this bussid	Negative	Fear
52	Game nya bagus grafik nya HD saya suka..tapi kenapa versi terbaru 3.7 sering terjadi bug seperti kamera menoleh ke kiri dengan sendiri dan kalo makai mode transmisi manual H kalo selesai loading map transmisi nya bug dengan sendiri??..pihak !! tolong perbaiki bug nya!!.. 	The game is good, the graphics are HD, I like it..but why does the latest version 3.7 often have bugs like the camera turns to the left by itself and if I use manual transmission mode H when it finishes loading the transmission map it bugs itself??..parties !! please fix the bugs!!..	Negative	Fear
53	TOLONG diperbaiki, kontrol tilt sangat tidak enak dan aneh, terasa berat dan delay, mengunci diposisi tengah stir, kembalikan tilt seperti versi 3.6 	PLEASE fix it, tilt control is very bad and strange, feels heavy and delays, locks in the middle position of the steering wheel, returns tilt like version 3.6	Negative	Fear
54	Tolong lah Min Adain Redeem Pulsa lagi. Gpp Mahal Asalkan Ada. Biarkan kami menikmati hasil nya bukan dikecewakan! 	Please Min Adain Redeem Credit again. Gpp is expensive as long as there is. Let us enjoy the results, not be disappointed!	Negative	Fear
55	tolong mod nya gak usah pakek link/kode name itu bikin ribet 	Please, the mood doesn't need to use the link/codename, it makes it complicated	Negative	Fear
56	tolong ya perbaiki semua bug yang ada di dalam permainan ini!,gamenya sudah cukup baik hanya saja masih ada beberapa bug lagi yang harus di perbaiki,mohon bantuannya!! 	please fix all the bugs in this game!, the game is good enough, it's just that there are still a few more bugs that need to be fixed, please help!!	Negative	Fear
57	Transaksi transfer ke BRI dari virtual account BCA kok lama statusnya masih menunggu pembayaran padahl saya sudah bayar. Di chat dan di email juga lama balasannya. Gimana ini ? Apa ada nomer telpon yg bisa dihubungi ? 	How come the transfer transaction to BRI from the BCA virtual account takes a long time, the status is still waiting for payment, even though I have already paid. In chat and in email also take a long time to reply. What to do ? Is there a telephone number to call?	Negative	Fear
58	Turun bintangnya ah..aku minta kirim via bni syariah kok pending melulu katanya dalam peningkatan pelayanan 	The stars went down... I asked to send it via BNI Syariah, how come it's only pending, he said, in improving service	Negative	Fear
59	Yang paling parah saya tidak bisa menghubungkan bang karena beda nama katanya udah jelas jelas di apk dan bang saya itu sama nmanya pake ktp ktp itu juga verifnya gajelas 	The worst thing is I can't connect, bro, because the name is different, the words are clear on the apk, and mine is the same name as the ID card, the verification is not clear	Negative	Fear
60	kenapa ya aku sering keluar dari game, saat loading map. Semoga diperbaiki aku pengen main. 	why do I often exit the game, when loading the map. Hopefully fixed I want to play.	Negative	Fear
61	adalah buatan amerika Selalu nenyudutkan pemerintahan Yang sah. tidak lebih alat untuk propaganda bangsa indonesia Ingat nasionalsime kawan! 	is made in America. Always puts the legitimate government in a corner. nothing more than a tool for the propaganda of the Indonesian nation. Remember nationalism, friends!	Negative	Fear
62	adalah media bentukan Amerika,sebagai alat propaganda,kalau kita lihat menyajikan beberapa berita yg akurat dan terdepan,tetapi juga menyajikan berita yg tidak sesuai fakta,demi kepentingan Amerika dan sekutunya,kalau tidak percaya silahkan install dan baca,ada beberapa topik yg menyudutkan banyak pihak dan tak ada satupun topik tentang Amerika yg disudutkan,sekian terima kasih.. 	is a media formed by America, as a propaganda tool, if we look at it, it presents some accurate and up-to-date news, but also presents news that does not match the facts, for the interests of America and its allies, if you don't believe, please install and read, there are several topics that corner many parties and none of the topics about America are cornered, thank you very much..	Negative	Fear
63	beritanya gk akurat, sekarang beralih seperti gosip 	The news isn't accurate, now it's turning like gossip	Negative	Fear
64	bukan portal berita netral.. Hanya alatnya pihak amerika, beritanya selalu menyudutkn dan menggiring opini seolah2 ukrania korban..auto uninstall 	not a neutral news portal.. It's just a tool for the Americans, the news always discredits and drives opinions as if Ukraine were the victim..auto uninstall	Negative	Fear
65	dulu beritanya proporsional ,kritis dan berimbang..sekarang koq berbau kadrun 	Previously, the news was proportional, critical and balanced... now it smells like kadrun	Negative	Fear
66	Indonesia tidak berani memberikan bukti transfer dana refund yang salah transfer. Jangan pakai aplikasi ini, udah email ke cs tapi responnya sangat tdk friendly. Hanya suruh cek mutasi trs padahal tdk ada uang yg masuk & sdh menunggu 1x24 jam. Ini aplikasi penipuan, jgn pakai lg!! 	Indonesia does not dare to provide proof of the wrong transfer of refund funds. Don't use this application, I've emailed CS but the response was very unfriendly. Just told to check the transfer, even though no money has come in & I've been waiting 1x24 hours. This is a fraud app, don't use it anymore!!	Negative	Fear
67	jangan jadi mata2 Jurnalis, iyah..jadilah jurnalis yg benar.. 	don't be a journalist's spy, yeah..be a true journalist..	Negative	Fear
68	kayaknya tdk netral, tdk independen, kadang2 tdk bisa dipercaya, harus saya cross cek lagi dgn Kompas com. 	I don't think it's neutral, it's not independent, sometimes it can't be trusted, I have to cross-check again with Kompas.com.	Negative	Fear
69	makin aneh dengan berita beritanya.. tidak berimbang. 	more and more strange with the news ... unbalanced.	Negative	Fear
70	sekarang kebanyakan framing.. padahal kaum sumbu pendek cuma demen baca judul doang 	now it's mostly framing.. even though the short axes just love to read the title	Negative	Fear
71	tolong benerin bug obb kalo ga dibenerin harus download ulang 	please fix the obb bug, if it's not fixed, you have to download it again	Negative	Fear
72	.. Berita pro pemerintah.. Gk netral 	.. Pro-government news.. Not neutral	Negative	Fear
73	2 dulu nanti kalau berhasil aku kasih 5 deh 	2 first, if it works, I'll give it 5	Negative	Fear
74	Ada beberapa ejaan yang tidak sesuai dengan masyarakat. Ingat KBBI itu merangkum bahasa yang ada di rakyat. Seperti assalamualaikum, kok huruf S nya satu? Terus juga Bis, orang-orang biasa nyebut bis, orang terkemuka seperti Jokowi pun ngomongnya bis, bukan malah bus. Di KBBI kok bus? 	There are some spellings that are not in accordance with society. Remember that KBBI summarizes the language in the people. Like assalamualaikum, how come the letter S is one? Then also Bus, people used to say bus, prominent people like Jokowi even said bus, not even bus. How come the bus is at KBBI?	Negative	Fear
75	"Ada kata bahasa yang gk ada nih.. Dlm app ini yakni kata ""KAMBOJA"" kok kamboja gk msk bhs indo sih nih.. Klo ku ketik melati ada, la kok ini nggk "	There's a language word that isn't there.	Negative	Fear
76	Ada malware jangan download. Semua akun ke ambil 	There is malware, don't download it. All accounts are taken	Negative	Fear
77	Ada notifikasi pesan, tapi pas dibuka gaada pesan nya.. ini kenapa? 	There's a message notification, but when I open it there's no message... what's wrong with this?	Negative	Fear
78	ada notifikasi,dapat pesan tp tidak ada pesan maduk di obrolan,kenapa ya min 	there is a notification, got a message but there is no incoming message in the chat, why is that, admin	Negative	Fear
79	"Ada penipuan pake aplikasi untuk menampung dana aja aja ga ada respon lebih lanjut hati"" saja ! "	There is fraud using an application to collect funds, just no further response, just be careful!	Negative	Fear
80	Ada seseorang memberitahu saya bahwa dia menemukan profil saya di aplikasi ini, saya kaget donk ya, saya merasa tidak pernah mendownload apalagi menggunakan aplikasi ini.. Ternyata oh ternyata, profil saya di aplikasi lain di copy ke aplikasi ini, OMG, foto, username, bahkan video sama persis seperti yang saya gunakan di aplikasi europe mingle.. 	Someone told me that he found my profile in this application, I was shocked, I felt like I had never downloaded or even used this application.. It turned out that my profile in another application was copied to this application, OMG, photo, username, even the video is exactly the same as what I use in the europe mingle application..	Negative	Fear
81	Ah, perbendaharaan katanya terlalu banyak, hingga membuat orang bingung menentukan mana yg benar 	Ah, the vocabulary is too much, to make people confused about which one is right	Negative	Fear
82	Ahkir² ini banyak kendala min , no.VA BNI EROR lalu setiap transaksi ke BRI sering gagal dan dana di refund oleh pihak 	Ah, there are a lot of problems admin, VA BNI EROR number, then every transaction with BRI often fails and the funds are refunded by the party	Negative	Fear
83	Akhir akhir ini sering nutup sendiri ketika sedang dibuka 	Lately it often closes itself when it's being opened	Negative	Fear
84	Akhirnya uang saja kembali jg hari ini. Alhamdulillah. Semoga kedepan lebih berhati hati 	Finally got my money back today. Alhamdulillah. Hopefully in the future be more careful	Negative	Fear
85	Aku beri dlu 2 klau bgus nnti aku tambahin 	I'll give it 2 first, if it's good, I'll add it later	Negative	Fear
86	Aku kasi 2 dulu,klw dapat jodoh,aku kasi semua 	I love 2 first, if I get a mate, I love everything	Negative	Fear
87	Aku kasih bintang sati dulu yh kalow bagus aku kasih bintang 5 	I'll give it a sati star first, if it's good, I'll give it 5 stars	Negative	Fear
88	Aku ko gabisa login kenapa ya 	Why can't I login?	Negative	Fear
89	Aku kok gak bisa ganti bus nya ya?? Tolong diperbaiki dong.. 	How come I can't change the bus? Please fix it please..	Negative	Fear
90	Aku yakin yg bikin game juga gak bakalan bisa selesaikan level 17 	I'm sure the person who made the game won't be able to finish level 17 either	Negative	Fear
91	Akun aku di ripper mass sama orng takutnya di salah gunakan:) 	My account is in Reaper Mass with people who are afraid it will be abused :)	Negative	Fear
92	Akun tiba2 ko diblokir. 	My account is suddenly blocked.	Negative	Fear
93	"Allah Subhanahu Wa Ta'ala berfirman: لِيُحِقَّ الْحَـقَّ وَيُبْطِلَ الْبَا طِلَ وَلَوْ كَرِهَ الْمُجْرِمُوْنَ  ""agar Allah memperkuat yang hak (Islam) dan menghilangkan yang batil (syirik) walaupun orang-orang yang berdosa (musyrik) itu tidak menyukainya."" (QS. Al-Anfal 8: Ayat 8) Apapun upaya yang kau lancarkan gak akan pernah berguna ,, visi misi hina yang kalian punya hanyalah visi misi yang rapuh lagi bobrok , sejatinya kelemahan adalah upaya yang kalian lakukan saat ini .. Kau ingat itu! "	"Allah Subhanahu Wa Ta'ala says: لِيُحِقَّ الْحَـقَّ وَيُبْطِلَ الْبَا طِلَ وَلَوْ كَرِهَ الْمُجْرِمُوْنَ  ""so that Allah strengthens the right (Islam) and eliminates the wrong (s yirik) even though the sinners (musyrik) do not like it."" (QS. Al-Anfal 8: Verse 8) Whatever efforts you make will never be useful,, the despicable vision and mission that you have is only a fragile, dilapidated vision and mission, true weakness is the effort you are currently making.. You remember that !"	Negative	Fear
94	Aneh bgt, aplikasi pake nama indo tp isinya dikit bgt orang indonya. Karena jarang yang pakai kali ya.. 	It's really strange, the application uses an Indo name but the contents are very little Indonesian. Because I rarely use it...	Negative	Fear
95	Aneh Bukan bus yang oleng tapi aspal yang oleng saat banding setir dalam keadaan kecepatan tinggi Pertanyaannya yang jalan aspal atau bus simulatornya? 	It's weird. It's not the bus that wobbles, but the asphalt that wobbles when you move the steering wheel at high speed. The question is, is the asphalt road or the bus simulator?	Negative	Fear
96	Aneh ya,setelah perbaharui gamenya masa iya dari padang ke bukit tinggi menurun disitinjau laut,dan sebaliknya dari bukit tinggi tiba di sitinjau laut mendaki ke sitinjau laut,mohon perbaikan admin.admin kalau mod banyak digarace kok ngk bisa dibuka ya, 	It's strange, after updating the game, from the plains to the high hills, it drops to the sea view, and vice versa, from the high hills it arrives at the sea view, climbing to the sea view, please fix admin.	Negative	Fear
97	Aneh..hanya tampil headline nya ,g bisa dibuka beritanya 	It's strange..it only shows the headline, can't open the news	Negative	Fear
98	Auto hapus, karna tidak lagi gratis transfer. terimakasih atas jasanya selama ini 	Auto delete, because it's no longer free transfer. thank you for your service so far	Negative	Sad
99	Banyak iklan ,auto uninstal 	Lots of ads, auto uninstall	Negative	Sad
100	Apresisi buat udh bikin game sekeren gini. Tapi, sensitive setir nya waduuh.. Parah banget. HP gang sedikit aja setirnya udah mental kemana-mana. Gak nyaman sekali.. Tolong di perbaiki ya 	Appreciation for making such a cool game. But, the steering wheel is sensitive wow... It's really bad. Just a little bit of HP, the steering wheel is already going everywhere. It's not very comfortable... Please fix it	Negative	Sad
101	Aslinya game nya bagus tapi mau sampai level nya gunung api sulit sekali tolong diperbaiki lagi. diulang berkali-kali kalah terus 	Originally the game was good, but if you want to reach the volcano level, it's very difficult, please fix it again. repeated many times to keep losing	Negative	Sad
102	Awal download bagus, cepet, udh 2 hari make server ilang semua, mau yg free atau premium gaada servernya.. 	The initial download was good, fast, after 2 days all the servers were gone, whether the free or premium one doesn't have a server..	Negative	Sad
