content	Sentiment	Emotion
 skrng jlek sma skli ga ada redem pulsa. kmi pra Android butuh pulsa buat di paketin. bukan butuh voucher belanja. ksian warga indonesia orngnya pada gndut smua!!  redem pulsa lgi !! tolong di bles 	Negative	Anger
 sudah terkontaminasi dengan Kadrun.	Negative	Anger
 tolong lah server jaringannya di perbaiki anjg	Negative	Anger
 tolong trafiknya diedit supaya tidk menggangu kita pada saat membawa mod yg panjang 	Negative	Anger
 yg dulu enak bgt di gandeng untuk bisnis.. skrg GK ada guna lagi . Krn Fitur VA nya udh GK ada. Byee OY !	Negative	Anger
 yg sekarang apaan gk mutu dari pada versi yang awal,chat'an biasa di  kata spam	Negative	Anger
!!!! Kenapa pas saya beli bus arjuna xhd tapi tidak bisa di pake dan saya heran kenapa tidak bisa di pake dan bug bug lain nya seperti bug hujan tapi saya malah keluar sendiri parah !!!!!!!!!!!! 	Negative	Anger
%$>/:(&_*^%$%,*babi kau	Negative	Anger
, masa baru maen udah di suruh beli. Luh pikir duit boleh metik aplikasi yg laen juga ga beli batas chat juga bnayak ga kaya gini.kalo emang mau ngebatasin dari orang nya ajah jangan chat nya.!!	Negative	Anger
1 bintangpun tdk pantas	Negative	Anger
1 juta+ download? Dah 2 hari gw buka aplikasi ini. tiap gw search org lain, orgnya itu" Aja. Wtf..	Negative	Anger
211BGKBYBPH bermasalah, status dana dikembalikan , tapi nyatanya gak masuk ke rekening saya. komplain CS sangat berbelit2. sudah dikasih bukti tambahan saldo tak kunjung refund kembali, parah OY parah	Negative	Anger
2204WKH01Z66 Saya sudah tranfer ke , tapi sampai sekarang dananya belum diteruskan juga, minta dibalikin dananya ribet, banyak alesan, tapi dana ga masuk2 di email suruh nunggu 8 hari, lah besok aja cuti bersama, pasti molor lagi, masa ga ada tim buat ngecek begini ya	Negative	Anger
23/02/20 TOBAT, DAFTAR SULIT BUKAN MAIN. SETELAH BERHASIL MUNCUL "GAGAL MENAMPILKAN BERITA".	Negative	Anger
3 kali kasih verifikasi data yg sesuai, foto dll. Gak bs juga, verifikasi gagal.. ok delete. Aplikasi beginian, gak cuma 1 ya..kalau awalnya aja, udh bkn kecewa gimana belakangnya? Buang" waktu aja!!	Negative	Anger
4x verifikasi gagal terus..ktp gak jelas..KTP udah sangat jelas sekali padahal..uninstal langsung..	Negative	Anger
Aaaaaasu	Negative	Anger
Aaahh, jelek banget sihh.. Baru diupdate malah ga bisa transfer.. Mending ga usah d update kalau kaya gini w!	Negative	Anger
aaplikasi gak guna bnyak iklanya auto uninstal	Negative	Anger
Abis update bukan makin responsif transfer2annya malah lama banget. Isi gopay aja gak masuk2.. klo udh di perbaikin gw tambah lg bintangnya.	Negative	Anger
Abis update keluar keluaran terus KECEWAA!!,harap develover perbaiki bug² yang ada di versi 3.7 ini kalo engga dampaknya nya orang orang yang bermain   di android yang tidak terlalu mendukung seperti saya akan pensiun bermain   Terimakasih,dan itu banyak jumlahnya!	Negative	Anger
Ada beberapa Bug mapping loading tidak sesuai/tidak teratur. Contoh : Dari Pekanbaru menuju kota jambi, tau" Mapping menuju kota malang jadi tidak teratur, untuk mabar jadi sangat kacau setelah update ini	Negative	Anger
Ada beberapa hal yang bikin bosan main ni 1. Maps gtu² aja. Coba tambahin 2. Kendaraan Npc jangan gitu² aja ditambahin supaya bervariasi 3. Smart traffic nya tolong diperbaiki lagi..soalnya ga logis kalau truk kontainer kecepatannya 146 km/jam..	Negative	Anger
Ada biaya adminnya, pindah!!	Negative	Anger
ada bug yang lumayan ngeselin.aku pas abis derek kendaraan kok tiba tiba kendaraan nya jalannya pelan banget bahkan gak bisa jalan dan satu lagi nih bug supir nya gak bisa jalan dan lompat dan loading masuk game lama banget terus nih bug mod jadi hilang terus nih bug tombol tombol gak bisa di pencet. Woy developer game bangke yang bodoh bgt.ini game jelek banget kayak sampah kebiasaan. game baru bug baru dasar game burik. .kalo gak diperbaiki bug nya akan ku uninstal ni game burik ini 	Negative	Anger
Ada bug yang sangat menggangu yaitu bug loop travel dari Wonogiri ke solo. Ketika dari Wonogiri ke arah Sukoharjo itu akan balik lagi ke wonogiri dan seterusnya, jadinya tidak bisa sampai ke solo. Tolong untuk segera diperbaiki	Negative	Anger
Ada tulisan offline tapi bisanya cuma nglayap, ga dapet duit. Mode narik sama pariwisata pun harus ngehidupin data/WiFi. Iklannya banyak + lama² semua. NPCnya kaga jelas. Ada bekas tabrakan, terus mobilnya udah gua singkirin, mobil belakang kaga mau maju. Game 1GB serasa game 100mb an. Ampas lah pokoknya.	Negative	Anger
Admin mahal, kalo 500 rupiah per transaksi mungkin masih wajar. Aplikasi sebelah masih nol Rupiah soalnya	Negative	Anger
Ads nya maksa amat ..suka nge klik otomatis sendiri ke LAZADA..	Negative	Anger
adu domba kerjaannya	Negative	Anger
Aduhh game nya biasa suka ngeleg mod biasa tdk bisa masuk setiap loading map iklan tolong  tingkatkan lgi apa lagi untuk mod saya selalu mau pasang mod tpi nggk mau masuk jdi tolong untuk  iklan mod dan heng atau mgeleg tolong di perbaiki dan di pertingkatkan dan lebih bagus bussid bug ny banyak bikin emosi tolong  plis perbaik bussid ny bussid ngeleg jelek selalu ngebag bikin emosi	Negative	Anger
afk nya cukup bagus..cuman cwe di afk ini..baru kenal seminggu minta di kirim pulsa atau terasper..seperti nya cwe di dlm afk ini..udh bosen hidup..minta di santet..	Negative	Anger
Agak berat sebelah ke kubu Kowi,unstal!!	Negative	Anger
Agak susah dan kesel nya lagi chat nya terbatas itu yg bikin kesel	Negative	Anger
Ah aplikasi busuk. Udah percaya sering gunain berlangganan oy plus juga. Pas transaksi gede malah sering nyangkut. Trx jadi terhambat. Mana nyangkutnya sampe 5hari lagi. Su	Negative	Anger
ah app jelek. masa udh daftar 3x di tolak . ktnya foto buram. yg buram dari sono apa sini.. nyatanya saya dftr flip aja di trima daftar bank aja online di terima.. jelek.. gua apus dh app sampah	Negative	Anger
Ah makin parah, gk guna nih game dlu main gk ada halangan sama sekali udh lancar mainnya gak force screen, skrng semenjak update v 3.7 jadi sering force Screen udh gitu pas update ke v 3.7.1 makin parah , sekarang selalu patah2 gk seseru dulu, klo main bebas gk ada apa2 termasuk force screen & patah2 , nih tolonglah buat dev diperbaiki lagi  nya biar tetep mendukung hp yg rammnya 3/2 ke bawah	Negative	Anger
Ahh aplikasi gak guna. Gak ada respon nya	Negative	Anger
ahh ga seru sekarang sering keluar sendiri pas main di map dan mode parawisata baru	Negative	Anger
Aikasi g jelas kebanyakan iklan,ujung**nya duit** jg	Negative	Anger
Ajg babi	Negative	Anger
Ajing gak bisa donload bansat ni play store	Negative	Anger
Ak kasih bintang 2 dlu soalny agak susah di download malas ak	Negative	Anger
Akan ada sekitar 10.00 lebih pengguna akan uninstal aplikasi OY ini, di perusahaan saya udah sekitar 500 orang, udah uninstal aplikasi ini, belum lagi di kampung saya hanya gara-gara sepele fitur REDEEM PULSA DIHILANGKAN, terima kasih	Negative	Anger
Akhir akhir ini tdk obyektif, memprovokasi kebencian di Indonesia. Corong setan. Taik.	Negative	Anger
Akhirnya nggak bagus baru tuh dia nggak pakai itu harus paket harus pakai paket itu baru tuh gamenya dia masak motor bisa bawa 5 orang	Negative	Anger
Aku agak kesal si karna gak ada penumpang di jalanan	Negative	Anger
aku baru coba app ini,tapi kalau ada iklan yang sangat mengganggu jelas aku hapus applikasi ini,tapi kalau tidak ada iklan saya kasih bintang full.	Negative	Anger
Aku bingung kenapa pas aku masuk ada tulisan "tolong pilih folder dokumen" aku udah pilih tapi ada tulisan error aku udah 3 kali download ulang sampai sekarang gak bisa aku kesel 	Negative	Anger
Aku hapus bintang nya karna ini apk setelah di-update makin ngebug keluar sendiri kadang masuk ke pengaturan dg tiba tiba gtu aja,sering banget,pokoknya ngebug gx ngotak lah gx kayak dlu..	Negative	Anger
Aku kasih 3 Aja. Pertama penumpangnya itu itu aja, ke 2 di dalam bus nga terlihat ada penumpang, ke 3 di jalan banyak pedangang. Tapi nga ada orangnya. Jadi tetep belum Keren. Dengan Apl tingi tapi masih kaya mainan bayi.	Negative	Anger
AKU KASIH BINTANG 4 DLU SOALNYA GAMENYA BANYAK BUG NYA CONTOH BUG NYA KADANG SUKA STUCK SAAT LOADING	Negative	Anger
Aku kasih bintang 4 karna banyak bug ngeselin bangeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeet	Negative	Anger
Aku sangat benci dengan game ini,karena gamenya aneh	Negative	Anger
Aku sangat benci dengan iklan domino dan sejenisnya. Maaf developer : terpaksa aku unistal	Negative	Anger
Aku tidak suka game ini tolo kobon Dobo	Negative	Anger
Alah berbayar najis	Negative	Anger
Alikasi goblog	Negative	Anger
Allah hape kalian aja yg jelek, ngak ada bug nya, itu iklan karna kalian pariwisata atau tarik jadi nya kalian nganylap aja yaa hp ku ngak kaya gitu hp ku tu bagus	Negative	Anger
Allikasi tolol top up gak masuk² malah dipersulit	Negative	Anger
alpikasi apa ini dikit2 bayar..klou pingin carik uanh gpp..tapi jagan kayak gini	Negative	Anger
ampas	Negative	Anger
Anak ajg	Negative	Anger
ancok	Negative	Anger
Ancur!!	Negative	Anger
Ancur, uang ngegantung dengan penanganan yang sangat sangat lambat, karna uang itu sensitif, di saat membutuhkan, uang malah ngegantung di oy. Penanganan lambat padahal status bank normal2 ajh GK ada gangguan. Oy tidak prepesional dalam hal melayani.	Negative	Anger
Anda tau celek!!. Dasar makin kesini makin gk jelas, masa setelah update saya selalu mengalami stuck , contoh di hp37f Masah paslogin pas logo   muncul langsung stuck disitu layar putih terus tolonglah kami yang hpnya kecil juga ingin merasakan bagaimana memainkan game seru!, walau grafik smoth, itu saja sudah senang bisa main game nya, eh tapi sekarang hp kecil gk di perdulikan, saya merasa kecewa, saya sudah agak lama main jadi tolonglah  	Negative	Anger
Aneh udh donwload ampe 37balik ke 0 bangsatataattaatta Aduh sekontl anjg pata²HP gue  Heeh gila ajr gue patahin ntar HP aku cokkkkk	Negative	Anger
Anjai gak kepental k lobi lagi ff ni bos	Negative	Anger
Anjass kelass • • , _	Negative	Anger
Anjay	Negative	Anger
Anjay mau daftar aja susah.. di pencet negara gak mau keluar ,kalo yg laen bisa..umur dll kecuali. Negara ..tolong di perbaiki ,gmn mau rame daftar aja susah..woyy	Negative	Anger
Anjayy kelazz	Negative	Anger
Anjimm ngabis ngabisin kuota bngsd	Negative	Anger
Anjing	Negative	Anger
Anjing ni game..dah update gk ngaruh. Stamina lama bgt gmn mw main..tolol yg bkin nya	Negative	Anger
Anjing nih aplikasi, voucher sgitu bnyak nya gk ada yg guna, sorry min klo sy berkata kasar, gimana sy gk kesal coba, sy sdh di php in mimin hmpir 2 bulan, voucher alfa mana min, masa proses restoknya lama bner, lama2 user OY emosi lo	Negative	Anger
Anjingg burikk batt sukA patahh patahh bus gua juga ngilang yang Yudistira shd gajelas taii memekk	Negative	Anger
Anjirr loding nya lama	Negative	Anger
Anjnglah abis update banyak banget bug, jalanan ny ilang terus+suka keluar sendiri tolong di perbaiki  	Negative	Anger
Annjaassss badass V A	Negative	Anger
Apa apaan ini masa chat harus bayar perbulan si katanya gratis gua itu mau cari wanita mau gua ajak serius min tolonglah jngn mempersulit gua dalam mencari jodoh maruk lu minta2 pulsa nyusahin pengguna ajh sorry gua uninstall kecewa gua	Negative	Anger
Apa apaan ini. Tolongg dong. Map sumatra di benahi. Masa main di mode pariwisata 1 kota di lewatin 3 sampe 4 kali. Kadang lokasi tujuan udh di lewati harus muter dulu lewat kota lain dulu. Tolong di benahi lagi. Trimaksih	Negative	Anger
Apa apan dikit bayar,	Negative	Anger
Apa coba, malah muncul bug kamera HP gabisa digerakin pas mode jalan kaki , padahal buat zoom bisa kamera hp nya	Negative	Anger
Apa sih ini verifikasi aja susah banget, ngetik BERULANG KALI, foto berulang kali, back lagi back lagi ga jelas banget, customer service ada di chat apps nya, tapi ga to the point menyelesaikan masalah, katanya CS REPRESENTATIVE akan menghubungi segera mana? Gaada	Negative	Anger
Apa"an ini huh jelek bngat	Negative	Anger
Apa² nih masa baru main dah keluar² sendiri baru masuk belum map² selanjutnya dah keluar² sendiri masa kalah game off the road aku main game off the road graffik high lancar jaya lah ini grafik rendah aja ngelag² perbaiki dong benerin apa yg salah kalo gk tanya developer game off the road tu	Negative	Anger
Apa2an msak BCA error terus udh hampir 3 hari error mulu	Negative	Anger
Apaan aplikasinya gua tulis berjalan masa munculnya makan si aplikasi kontol memek bangsat	Negative	Anger
Apaan dah gj amat	Negative	Anger
Apaan ini game kok banyak banget iklan gob*ok mana gak ada tanda x nya ngen*t pokok nya setiap ganti map ada iklan gak jelas. Memang iklan fox goblo*	Negative	Anger
Apaan ini ko skarang banyak bug saya udah log in udah mau main pas mode parawisata ko pas loading tiba² kembali udah brapa kali saya log in 0adahal penyimpanan hp saya masih memadai knapa ini udah saya hapus terus download lagi ttp aja gtu bikin emosi aja tolong dong jelasin gimana harus gimana si perasaan emang bener dah gtu main nya log in nya download mod nya udah bener tapi ko jadi gini padahal ini game baru di. Updat kan tapi knapa jadi gini ya .gimana dong kasih saran sama saya dong	Negative	Anger
Apaan jarang bisa kebuka	Negative	Anger
Apaan kelebihan cepat verifikasi.. ini aja verifikasi lama kali. Kalah bngt ama yg sbeelah. Klo tim verifikasi g bs kerja pecat aja. Verifikasi data aja lama banget. Dimana mana klo verifikasi emg orgny kerja itu g kn smpe 24 jam. Atau ber jam jam.	Negative	Anger
Apaan keluar trs bgst	Negative	Anger
Apaan nih baru dikit chat orng udh habits chat nya gk seru jadi nya	Negative	Anger
Apaan sih  makin gak jelas, pertama suka bngt transaksi cepat, bisa pakai virtual acount, gratis biaya admin, sekarang mau transfer aja lama gak sukses2, bantuan chat lama respons, pokonya makin nggak deh 	Negative	Anger
Apakah apk ini bisa mencari kata baku, berbagai bidang?? TOLONG JAWAB	Negative	Anger
Apakah aplikasi oy inih mulai bangkrut atau bagai mana ? Saya udah chat lebih dari 100 dan itu semua 86 chat yang balas kenapa saya dapat 21 poin Kenapah drastis turun nya Tidak seperti biasanya.. Apa ada gangguan sistem? Kenapah mimin nya diem ajh ? BALAS	Negative	Anger
apanya keren.. malahan ribett.. mending tetap pakai MBangking. saya coba verifikasi.. E.KTP data benar.. dibilang gagal. coba top up link.. lamanya minta ampiun, malam top up, besok pagi baru terkirim..	Negative	Anger
Apilkasih Ny Jelek Masa Sya Kagak Bisa Masuk Akun	Negative	Anger
Apk ajing hayakal aing nga download eh teu bisa asup kalah aya tulisan email ini telah di gunakan nu nyien apkna goblok	Negative	Anger
Apk ampas masukin kode otp aja ngebug	Negative	Anger
Apk Anying Bikin LAG Pas Mau Masuk Chrome Malah Mati Tolong Di Perbarui Developer apk Anying	Negative	Anger
Apk apa ini, udah lemot loading mulu, masang profil gabisa, bener sampah	Negative	Anger
apk apaan ini, gak jelas	Negative	Anger
Apk apaan nih gak bisa daftar	Negative	Anger
Apk apaan nih masa mau chtan aja dibatasin	Negative	Anger
Apk asuu	Negative	Anger
APK BABI SOK SOK.AN.!! VERIV KTP 10 X GAGAL MULU.!!!! SOK SOK AN. udah JELAS TULISANNYA INFONYA BLUR .. TAIK.	Negative	Anger
Apk babj	Negative	Anger
Apk coblok masa chatting an bisa 4x doang, goblok apk ni Nyesel aku download	Negative	Anger
Apk gabisa masuk jelek!! Jangan didownload	Negative	Anger
Apk gak guna buang2 data aja..	Negative	Anger
Apk gak jelas	Negative	Anger
Apk gblk login susah bgt anjg	Negative	Anger
Apk ini ga bagus skrg , percuma lu chat banyak kontak ,poinnya seret. Redem pulsa udah kaga bisa , udah jadi apk scam.	Negative	Anger
Apk ini knpa ya udh langanan vip , malah klo cht kluar dftar vip lg trus cht jdi ke ulang lg.. Tolong lah di perbaikin.. Menganggu tau gak . Msk nulis psn 2x keburu ilang , apa yg mw di tulis	Negative	Anger
Apk ini serasa kaya gaada penghuninya.. Komen di batasi chat dibatasi. Bayar 10rb dulu baru bisa chat komen sepuasnya tp nyatanya kaya nya gaada tuh yg mau bayar. Kalau mau bikin VIP itu yg masuk akal dikit min bukan chat SMA komen dibkn vip	Negative	Anger
Apk ini tidak berguna sama sekali, aku ingin memberikan bintang 0 jika ada.	Negative	Anger
apk jelek	Negative	Anger
Apk jelek mau kyc aja di tolak truss padahal foto udah benar	Negative	Anger
Apk jelek udah iklan banyak nggk bisa pula	Negative	Anger
apk jelek,.lemot, jgn di download	Negative	Anger
Apk jlek banget	Negative	Anger
apk kukuuuntuull yg download blum apa apa yakin pasti emosi baru mulai juga kiintiill	Negative	Anger
Apk mata duitann..	Negative	Anger
Apk ntl yg buat gak iklas mau nya berbayar cmn mw dpt jodoh	Negative	Anger
Apk nya ga bagus haram babi	Negative	Anger
Apk nya ga berguna apus aja	Negative	Anger
Apk nya jelek	Negative	Anger
Apk nya tolol	Negative	Anger
Apk payah loe	Negative	Anger
Apk sampah penanganan masalah terlalu di buat berbelit2 sehingga membuat uang saya tertahan hingga berhari2.	Negative	Anger
APK SAMPAH! RATING BINTANG 1 AJA, MAU CHATINGAN AJA HARUS LANGGANAN ASU, PELITNYA GILA SIH	Negative	Anger
Apk tai	Negative	Anger
APK TAI KYC 12 X D TOLAK PADHAL KTP JELAS	Negative	Anger
Apk tolol	Negative	Anger
apk tolol,mau ngechat aja mesti bayar berlangganan ,kn paok paok	Negative	Anger
APK YANG GAK ADA TANGGUNG JAWABNYA SAMA SEKALI ! . UDAH SEMINGGU, UANG YANG AKU TRANSFER KE REKENING LAIN TAK ADA UJUNGNYA. TERUS BAGIAN CSNYA MALAH BANYAK ALASAN KATANYA UDAH DI FOLLOW UP LAH ANU LAH . TAPI SEMINGGU TAK KUNJUNG SELESAI MASALAHNYA !! . BEDA SAMA APK SEBELAH !	Negative	Anger
apkikasi kyo itil..msok ape ngert sing nontok profile dwe kdu mbayar..su_asu	Negative	Anger
Apkk bosokk	Negative	Anger
Apkl sangat jelek	Negative	Anger
Apl kere, dikit2 bayar. Cuman mau chat aja bayar	Negative	Anger
Apl paling buruk yg pernah saya coba.. yg belum instal mending gk usah instal	Negative	Anger
Apl tai	Negative	Anger
Apli ini gak jelas ,tolong untuk developer diperbaiki	Negative	Anger
Aplikasi  parah sekarang tidak bisa menggunakan debit kalo cuma virtual account mending menggunakan mobile bangking tidak perlu repot2 menggunakan o.y kalo bisa fi perbaiki sistem kartu debit nya supaya bisa di gunakan lagi	Negative	Anger
Aplikasi abal abal selfie ktp foto bener tulisan ke balik Org d suruh verifikasi ulang Tapi yg error sono	Negative	Anger
Aplikasi abal2. Transfer dari hari jumat sampai sekarang belum diproses juga. Komplain sama CS nya lelet bgt. Ati2 gaess	Negative	Anger
Aplikasi ampas lihat cara transfer tp tdk muncul tutorialnya. Harga pulsa gila mahal banget jual nya aing. 	Negative	Anger
Aplikasi anjing apa pula kayak gini Nyesel gue mendownload nya lo hay kawan kawan jangan pakai aplikasi ini y	Negative	Anger
Aplikasi anjing lama lodingx	Negative	Anger
aplikasi anjing mau cari jodoh aj bayar	Negative	Anger
Aplikasi anjing ngambil pulsa orang enak aja lu anjing Gue udh lelah isi pulsa anjing babi sial	Negative	Anger
Aplikasi anjing. Busuk. Gimana dapet poinnya..orang kontak di OY nya gak muncul. Klo klik pojok kanan atas kan harusnya muncul kontak tpi malah tulisan harus klik undang teman untung bergabung di oy mulu.. anjing	Negative	Anger
Aplikasi anjir koq chat berbayar.. Buat apa saya kasih bintang, nakjis..	Negative	Anger
aplikasi apa ini masak chat harus bayar ga mutu bnget	Negative	Anger
aplikasi apa ini. ngga jelas dan ngga biaa terhubung. isi iklan doang	Negative	Anger
Aplikasi apaan ini apa apa bayar masa bles Chet doank harus bayar parah aplikasi nya parah parah nyesel gw download aplikasi ini masa harus byr percuma donk udh di donload harus bayar juga payah aplikasi payah	Negative	Anger
Aplikasi apaan ini semuanya gak bisa	Negative	Anger
Aplikasi apaan ini, masa mau kencan Connection by peer sih, annoying  banget:(	Negative	Anger
Aplikasi apaan ini..aplikasi goblok unistal aja..kagak guna..makin lama makin nggak karuan aplikasinya..dulunya bisa redem pulsa..sekarang nggak ada lagi Aplikasi goblok..jangan download dah..percuma	Negative	Anger
Aplikasi apaan ni masak masak mau nyari jodoh aj suruh bayar !! Iya kalo real jadian kalo ngga? Percuma langganan	Negative	Anger
Aplikasi apaan nih ketinggalan jaman dimana mana skrg banyak aplikasi yg transfer k bank mana az udah gratis lah ini malah suruh bayar 25ribu per bulan lagi hadeuh,, 	Negative	Anger
Aplikasi apaan saya udah transfer malah transaksi dibatalkan sekarang uang saya 225k belum refund udah 3 hari udah komplain di CS malah banyak alasan Aplikasi nipu !!	Negative	Anger
aplikasi apaan, sudah bayar tp penduduk nya sepi	Negative	Anger
aplikasi asu , chat baru sekali yg kedua suruh bayar !! kyk gini cara nya ya aplikasmu gak laku goblok !	Negative	Anger
Aplikasi asu cma modal edit tmpilan doang. Pas konek ke indon malah ke singapura asu kau	Negative	Anger
Aplikasi asu jelek gak ada guna	Negative	Anger
Aplikasi asu koe,ws di download gari mlebu ra isa malah kon ndownload maning kn asu buang2 kuota tok,sudi temen ndownload maning najis cuiihh pancen asu sng nggawe aplikasi kie,mati bae koe lah asu	Negative	Anger
Aplikasi babi gak guna,,	Negative	Anger
Aplikasi babi mau main malah iklan terus yg keluar semoga cepat mati yg bikin aplikasinya	Negative	Anger
aplikasi bagus dan mudah untuk melakukan transfer/ transaksi. tetapi SAYA BERIKAN BINTANG 1 KARENA OY SEKARANG MENERAPKAN BIAYA TRANSFER SEBANYAK Rp1500 TIAP TRANSAKSI.	Negative	Anger
Aplikasi bangke, gk guna..	Negative	Anger
Aplikasi bangkee verifikasi aja susah, kesalahan terus statusnya, no recomend deh ribet	Negative	Anger
Aplikasi bangst kebanyakan iklan tll	Negative	Anger
Aplikasi bego udah bener bener program redem pulsa narik pengguna, malah dihapus programnya Gw udah capek capek ngumpulin poin malah sekarang dihilangin redem pulsa Gw yakin sebulan aplikasi ini dihilangin program redem pulsanya ,pengguna udah berkurang 80% dan rating app turun jadi 3,2 Yaudah makasih oy untuk yang lalu Dan bye oy yang baru	Negative	Anger
Aplikasi berbayar tak berguna. Dan hanya orang2 jauh aja yg ada. Jd kalo ingin berkenalan sm yg dekat sangat tdk di rekomendasikan. Kebanyakan juga tante2	Negative	Anger
Aplikasi berita  ini milik AMERIKA, selalu menyudutkan pemerintahan Jokowi, apapun hal baik yang dilakukan pak Dhe pasti akan selalu disudutkan dalam pemberitaannya, NOT RECOMMENDED APP	Negative	Anger
Aplikasi berita ini yg foundernya pihak asing sepertinya sudah mulai ngampret ngatain Jokowi gak berkutik atasi kebakaran hutan. Ketularan sama Tempo ya?	Negative	Anger
aplikasi bodo, nipuin org	Negative	Anger
Aplikasi bodoh	Negative	Anger
Aplikasi bodoh masa banyak iklannya gak guna bet jadi jangan di download kesel gue pantes ratingnya sedikit gegara banyak iklannya haha:D	Negative	Anger
Aplikasi bodoh orang cari produsen malah yang muncul tentang china bosohh !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!?!!!!!!!! !!!!!!!!¡!!?????!!!!!!!!!!!!!!!!! Ga ada tapi boong goblokkkkk 	Negative	Anger
Aplikasi bosok mana orng bsa trtarik	Negative	Anger
aplikasi Broken parah. Bikin emosi bgt.	Negative	Anger
Aplikasi cacat	Negative	Anger
APLIKASI CACAT, AUTO HAPUS	Negative	Anger
Aplikasi cacat,. Verifikasi aja susah minta ampun, apa lg nanti pas transfer2,. Mending pake flip mudah gak ribet..	Negative	Anger
Aplikasi chat paling buruk yang pernah saya download, loading super lelet padahal sinyal dah full.	Negative	Anger
Aplikasi dak ada guna	Negative	Anger
Aplikasi ee, bls pesan aja harus bayar.	Negative	Anger
Aplikasi g guna .. Kalau cari berita yg bener ya.. jangan asal jiplak aja	Negative	Anger
